Cluster_ID,Phenotype,Model_Scope,N,Responders,Response_Rate,ROC_AUC,PR_AUC,Precision,Recall,F1_Score,Accuracy,Brier_Score,PPV,NPV
-1,Overall Cohort,Global Enriched Baseline,195,82,42.05128205128205,0.5498597021368444,0.5209997302930082,0.5384615384615384,0.25609756097560976,0.34710743801652894,0.5948717948717949,0.2413357307767331,0.5384615384615384,0.6089743589743589
-1,Overall Cohort,Subgroup Ensemble,195,82,42.05128205128205,0.5048564644938485,0.47810338807032,0.5151515151515151,0.2073170731707317,0.2956521739130435,0.5846153846153846,0.24843890724176487,0.5151515151515151,0.5987654320987654
0,Immunosuppressive M2-High,Global Enriched Baseline,55,20,36.36363636363637,0.6171428571428572,0.4825217029320343,0.375,0.15,0.21428571428571427,0.6,0.22316159737522825,0.375,0.6382978723404256
0,Immunosuppressive M2-High,Subgroup Specific,55,20,36.36363636363637,0.54,0.39126218375216015,0.4,0.1,0.16,0.6181818181818182,0.23632450902486904,0.4,0.64
1,Immune Cold,Global Enriched Baseline,28,11,39.285714285714285,0.37433155080213903,0.35504382068247264,0.25,0.09090909090909091,0.13333333333333333,0.5357142857142857,0.2631084239227227,0.25,0.5833333333333334
1,Immune Cold,Subgroup Specific,28,11,39.285714285714285,0.43315508021390375,0.36128120890966736,0.0,0.0,0.0,0.5,0.2552681370613816,0.0,0.56
2,Immune Hot,Global Enriched Baseline,103,46,44.66019417475729,0.5411899313501144,0.5849176446616178,0.6296296296296297,0.3695652173913043,0.4657534246575342,0.6213592233009708,0.24537782957724824,0.6296296296296297,0.618421052631579
2,Immune Hot,Subgroup Specific,103,46,44.66019417475729,0.5053394355453853,0.569670661562857,0.6363636363636364,0.30434782608695654,0.4117647058823529,0.6116504854368932,0.24895275429591524,0.6363636363636364,0.6049382716049383
3,Mutant-Driven,Global Enriched Baseline,9,5,55.55555555555556,0.9,0.9266666666666667,0.0,0.0,0.0,0.4444444444444444,0.2384030366147329,0.0,0.4444444444444444
3,Mutant-Driven,Subgroup Specific,9,5,55.55555555555556,0.15000000000000002,0.4434920634920635,0.3333333333333333,0.2,0.25,0.3333333333333333,0.2953441539531554,0.3333333333333333,0.3333333333333333
