Feature,Responder_Mean,Non_Responder_Mean,Mann_Whitney_U,p_value,neg_log10_p,Cohens_d
B_cells,0.16916207110120254,-0.17740593291871737,5859.0,0.0016316772923332895,2.7873657303966315,0.3727536083424084
M1_Macrophages,0.060485507319665344,-0.0859861467780756,5477.0,0.03014264274023085,1.5208186738135339,0.20534550810807167
mut_NF1,0.2073170731707317,0.09734513274336283,5142.5,0.03123257047260238,1.5053922714173267,0.31579696519243944
Macrophage_STV_Score,-0.7557484407777388,1.5304627510484128,3824.0,0.03768692296834594,1.42380932003038,-0.2790067033177324
TIS,0.04757451506227181,-0.12946982415864716,5425.0,0.04189664864831749,1.37782071526171,0.21152657340648545
CD8_T_cells,0.019984895962889136,-0.12062400445315215,5410.0,0.04593524223956695,1.3378539890301069,0.14758356058618397
CYT,-0.02368105151677586,-0.07859287675481957,5406.0,0.04706589958569605,1.3272936360863303,0.056503717385359045
CD4_T_cells,0.10031374330583225,-0.09851916162584357,5375.0,0.056647530375768466,1.2468190190319217,0.25008917739896075
PD_L1,0.04752973346674674,-0.1381343908165827,5368.0,0.059013689279699896,1.229047234306392,0.1778615910396612
IFN_gamma,0.037089857874962856,-0.13306505764345733,5327.0,0.07464542050152181,1.126996831099381,0.18993584128192162
CD8_Tcell,-0.0029453146615091674,-0.09664127083345761,5313.0,0.08069756922078387,1.0931395469371574,0.0954145018422117
M1_score,-2.0457712612316192,1.4415268371796501,3957.0,0.08249877303978644,1.0835525104320474,-0.22995838070069438
IMPRES,7.560975609756097,7.035398230088496,5225.5,0.12448573306464229,0.904880418900304,0.24177152830498647
M1_M2_Ratio,1.0183962419720258,0.6007960621621894,4093.0,0.15425840001448854,0.8117511775014509,0.14721311525238912
mut_NRAS,0.2804878048780488,0.20353982300884957,4989.5,0.2133495810973125,0.6709082055222891,0.18103657605096798
NK_cells,-0.015542536240586866,-0.05608197213754293,4940.0,0.4307808646949851,0.365743596325653,0.05296672631259022
M2_Macrophages,0.0008261083668564144,-0.009475792153417744,4778.0,0.7103126297345146,0.14855046327353977,0.014717268142858023
CAFs,0.03126104662650232,-0.03065552592539034,4731.0,0.802105539322021,0.09576848442207048,0.07069991763084871
mut_BRAF,0.3902439024390244,0.39823008849557523,4596.0,0.9117645354935455,0.04011730436809456,-0.01625410803825567
M2_score,-1.290022820453876,-0.08893591386876581,4658.0,0.9497847551856501,0.022374805476135254,-0.08347607770365145
